date_of_operation,restaurant_type,branch_identifier,state_of_operation,region_of_operation,number_of_customers
10-18-18,eat-in,branch_num_42.0,WEST BENGAL,EAST,27
10-19-18,eat-in,branch_num_42.0,WEST BENGAL,EAST,14
10-20-18,eat-in,branch_num_42.0,WEST BENGAL,EAST,29
10-21-18,eat-in,branch_num_42.0,WEST BENGAL,EAST,27
10-22-18,eat-in,branch_num_42.0,WEST BENGAL,EAST,58
10-23-18,eat-in,branch_num_42.0,WEST BENGAL,EAST,38
10-24-18,eat-in,branch_num_42.0,WEST BENGAL,EAST,48
10-25-18,eat-in,branch_num_42.0,WEST BENGAL,EAST,40
10-26-18,eat-in,branch_num_42.0,WEST BENGAL,EAST,40
10-27-18,eat-in,branch_num_42.0,WEST BENGAL,EAST,30
10-28-18,eat-in,branch_num_42.0,WEST BENGAL,EAST,19
10-29-18,eat-in,branch_num_42.0,WEST BENGAL,EAST,40
10-30-18,eat-in,branch_num_42.0,WEST BENGAL,EAST,46
10-31-18,eat-in,branch_num_42.0,WEST BENGAL,EAST,124
01-11-2018,eat-in,branch_num_42.0,WEST BENGAL,EAST,0
02-11-2018,eat-in,branch_num_42.0,WEST BENGAL,EAST,0
03-11-2018,eat-in,branch_num_42.0,WEST BENGAL,EAST,26
04-11-2018,eat-in,branch_num_42.0,WEST BENGAL,EAST,38
05-11-2018,eat-in,branch_num_42.0,WEST BENGAL,EAST,77
06-11-2018,eat-in,branch_num_42.0,WEST BENGAL,EAST,61
07-11-2018,eat-in,branch_num_42.0,WEST BENGAL,EAST,53
08-11-2018,eat-in,branch_num_42.0,WEST BENGAL,EAST,48
09-11-2018,eat-in,branch_num_42.0,WEST BENGAL,EAST,23
10-11-2018,eat-in,branch_num_42.0,WEST BENGAL,EAST,45
11-11-2018,eat-in,branch_num_42.0,WEST BENGAL,EAST,23
12-11-2018,eat-in,branch_num_42.0,WEST BENGAL,EAST,47
11-13-18,eat-in,branch_num_42.0,WEST BENGAL,EAST,47
11-14-18,eat-in,branch_num_42.0,WEST BENGAL,EAST,47
11-15-18,eat-in,branch_num_42.0,WEST BENGAL,EAST,39
11-16-18,eat-in,branch_num_42.0,WEST BENGAL,EAST,34
11-17-18,eat-in,branch_num_42.0,WEST BENGAL,EAST,35
11-18-18,eat-in,branch_num_42.0,WEST BENGAL,EAST,17
11-19-18,eat-in,branch_num_42.0,WEST BENGAL,EAST,46
11-20-18,eat-in,branch_num_42.0,WEST BENGAL,EAST,26
11-21-18,eat-in,branch_num_42.0,WEST BENGAL,EAST,32
11-22-18,eat-in,branch_num_42.0,WEST BENGAL,EAST,29
11-23-18,eat-in,branch_num_42.0,WEST BENGAL,EAST,18
11-24-18,eat-in,branch_num_42.0,WEST BENGAL,EAST,28
11-25-18,eat-in,branch_num_42.0,WEST BENGAL,EAST,14
11-26-18,eat-in,branch_num_42.0,WEST BENGAL,EAST,55
11-27-18,eat-in,branch_num_42.0,WEST BENGAL,EAST,23
11-28-18,eat-in,branch_num_42.0,WEST BENGAL,EAST,34
11-29-18,eat-in,branch_num_42.0,WEST BENGAL,EAST,30
11-30-18,eat-in,branch_num_42.0,WEST BENGAL,EAST,42
01-12-2018,eat-in,branch_num_42.0,WEST BENGAL,EAST,6
02-12-2018,eat-in,branch_num_42.0,WEST BENGAL,EAST,7
03-12-2018,eat-in,branch_num_42.0,WEST BENGAL,EAST,30
04-12-2018,eat-in,branch_num_42.0,WEST BENGAL,EAST,15
05-12-2018,eat-in,branch_num_42.0,WEST BENGAL,EAST,34
06-12-2018,eat-in,branch_num_42.0,WEST BENGAL,EAST,35
07-12-2018,eat-in,branch_num_42.0,WEST BENGAL,EAST,31
08-12-2018,eat-in,branch_num_42.0,WEST BENGAL,EAST,22
09-12-2018,eat-in,branch_num_42.0,WEST BENGAL,EAST,23
10-12-2018,eat-in,branch_num_42.0,WEST BENGAL,EAST,30
11-12-2018,eat-in,branch_num_42.0,WEST BENGAL,EAST,38
12-12-2018,eat-in,branch_num_42.0,WEST BENGAL,EAST,28
12-13-18,eat-in,branch_num_42.0,WEST BENGAL,EAST,39
12-14-18,eat-in,branch_num_42.0,WEST BENGAL,EAST,29
12-15-18,eat-in,branch_num_42.0,WEST BENGAL,EAST,28
12-16-18,eat-in,branch_num_42.0,WEST BENGAL,EAST,13
12-17-18,eat-in,branch_num_42.0,WEST BENGAL,EAST,18
12-18-18,eat-in,branch_num_42.0,WEST BENGAL,EAST,14
12-19-18,eat-in,branch_num_42.0,WEST BENGAL,EAST,39
12-20-18,eat-in,branch_num_42.0,WEST BENGAL,EAST,31
12-21-18,eat-in,branch_num_42.0,WEST BENGAL,EAST,42
12-22-18,eat-in,branch_num_42.0,WEST BENGAL,EAST,45
12-23-18,eat-in,branch_num_42.0,WEST BENGAL,EAST,22
12-24-18,eat-in,branch_num_42.0,WEST BENGAL,EAST,36
12-25-18,eat-in,branch_num_42.0,WEST BENGAL,EAST,29
12-26-18,eat-in,branch_num_42.0,WEST BENGAL,EAST,28
12-27-18,eat-in,branch_num_42.0,WEST BENGAL,EAST,27
12-28-18,eat-in,branch_num_42.0,WEST BENGAL,EAST,25
12-29-18,eat-in,branch_num_42.0,WEST BENGAL,EAST,31
12-30-18,eat-in,branch_num_42.0,WEST BENGAL,EAST,19
12-31-18,eat-in,branch_num_42.0,WEST BENGAL,EAST,94
01-01-2019,eat-in,branch_num_42.0,WEST BENGAL,EAST,0
02-01-2019,eat-in,branch_num_42.0,WEST BENGAL,EAST,50
03-01-2019,eat-in,branch_num_42.0,WEST BENGAL,EAST,24
04-01-2019,eat-in,branch_num_42.0,WEST BENGAL,EAST,41
05-01-2019,eat-in,branch_num_42.0,WEST BENGAL,EAST,23
06-01-2019,eat-in,branch_num_42.0,WEST BENGAL,EAST,25
07-01-2019,eat-in,branch_num_42.0,WEST BENGAL,EAST,36
08-01-2019,eat-in,branch_num_42.0,WEST BENGAL,EAST,25
09-01-2019,eat-in,branch_num_42.0,WEST BENGAL,EAST,37
10-01-2019,eat-in,branch_num_42.0,WEST BENGAL,EAST,31
11-01-2019,eat-in,branch_num_42.0,WEST BENGAL,EAST,39
12-01-2019,eat-in,branch_num_42.0,WEST BENGAL,EAST,6
1-13-19,eat-in,branch_num_42.0,WEST BENGAL,EAST,24
1-14-19,eat-in,branch_num_42.0,WEST BENGAL,EAST,57
1-15-19,eat-in,branch_num_42.0,WEST BENGAL,EAST,39
1-16-19,eat-in,branch_num_42.0,WEST BENGAL,EAST,32
1-17-19,eat-in,branch_num_42.0,WEST BENGAL,EAST,28
1-18-19,eat-in,branch_num_42.0,WEST BENGAL,EAST,42
1-19-19,eat-in,branch_num_42.0,WEST BENGAL,EAST,21
1-20-19,eat-in,branch_num_42.0,WEST BENGAL,EAST,12
1-21-19,eat-in,branch_num_42.0,WEST BENGAL,EAST,44
1-22-19,eat-in,branch_num_42.0,WEST BENGAL,EAST,51
1-23-19,eat-in,branch_num_42.0,WEST BENGAL,EAST,37
1-24-19,eat-in,branch_num_42.0,WEST BENGAL,EAST,35
1-25-19,eat-in,branch_num_42.0,WEST BENGAL,EAST,35
1-26-19,eat-in,branch_num_42.0,WEST BENGAL,EAST,24
1-27-19,eat-in,branch_num_42.0,WEST BENGAL,EAST,22
1-28-19,eat-in,branch_num_42.0,WEST BENGAL,EAST,35
1-29-19,eat-in,branch_num_42.0,WEST BENGAL,EAST,48
1-30-19,eat-in,branch_num_42.0,WEST BENGAL,EAST,28
1-31-19,eat-in,branch_num_42.0,WEST BENGAL,EAST,50
01-02-2019,eat-in,branch_num_42.0,WEST BENGAL,EAST,0
02-02-2019,eat-in,branch_num_42.0,WEST BENGAL,EAST,33
03-02-2019,eat-in,branch_num_42.0,WEST BENGAL,EAST,21
04-02-2019,eat-in,branch_num_42.0,WEST BENGAL,EAST,27
05-02-2019,eat-in,branch_num_42.0,WEST BENGAL,EAST,42
01-04-2017,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
03-04-2017,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
04-04-2017,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
05-04-2017,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
07-04-2017,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
12-04-2017,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
4-13-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
4-14-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
4-15-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
4-16-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
4-17-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
4-18-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
4-19-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
4-20-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
4-21-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
4-22-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
4-23-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
4-24-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
4-25-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
4-26-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
4-27-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
4-28-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
4-29-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
4-30-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
01-05-2017,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
02-05-2017,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
03-05-2017,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
04-05-2017,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
05-05-2017,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
07-05-2017,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
08-05-2017,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
09-05-2017,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
10-05-2017,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
11-05-2017,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
12-05-2017,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
5-13-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
5-14-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
5-15-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
5-16-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
5-17-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
5-18-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
5-19-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
5-20-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
5-21-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
5-22-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
5-23-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
5-24-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
5-25-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
5-26-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
5-27-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
5-28-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
5-29-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
5-30-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
5-31-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
01-06-2017,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
02-06-2017,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
03-06-2017,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
04-06-2017,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
05-06-2017,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
06-06-2017,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
07-06-2017,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
08-06-2017,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
09-06-2017,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
10-06-2017,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
11-06-2017,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
12-06-2017,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
6-13-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
6-14-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
6-15-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
6-16-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
6-17-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
6-18-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
6-19-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
6-20-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
6-21-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
6-22-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
6-23-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
6-24-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
6-25-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
6-26-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
6-27-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
6-28-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
6-29-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
6-30-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
01-07-2017,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
02-07-2017,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
05-07-2017,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
06-07-2017,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
07-07-2017,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
10-07-2017,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
11-07-2017,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
12-07-2017,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
7-13-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
7-14-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
7-15-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
7-16-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
7-17-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
7-18-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
7-19-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
7-20-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
7-21-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
7-22-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
7-23-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
7-24-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
7-25-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
7-26-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
7-27-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
7-28-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
7-29-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
7-30-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
7-31-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
01-08-2017,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
03-08-2017,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
04-08-2017,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
05-08-2017,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
06-08-2017,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
07-08-2017,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
08-08-2017,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
09-08-2017,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
10-08-2017,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
11-08-2017,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
12-08-2017,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
8-13-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
8-14-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
8-15-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
8-16-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
8-17-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
8-18-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
8-19-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
8-20-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
8-21-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
8-22-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
8-23-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
8-24-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
8-25-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
8-26-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
8-27-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
8-28-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
8-29-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
8-30-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
8-31-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
04-09-2017,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
05-09-2017,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
07-09-2017,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
08-09-2017,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
09-09-2017,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
10-09-2017,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
11-09-2017,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
12-09-2017,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
9-13-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
9-14-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
9-15-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
9-16-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
9-17-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
9-18-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
9-19-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
9-20-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
9-21-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
9-22-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
9-23-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
9-24-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
9-25-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
9-26-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
9-27-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
9-28-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
9-29-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
9-30-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
01-10-2017,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
02-10-2017,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
03-10-2017,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
04-10-2017,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
05-10-2017,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
06-10-2017,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
07-10-2017,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
08-10-2017,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
09-10-2017,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
10-10-2017,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
11-10-2017,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
12-10-2017,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
10-13-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
10-14-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
10-15-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
10-16-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
10-17-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
10-18-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
10-19-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
10-20-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
10-21-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
10-22-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
10-23-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
10-24-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
10-25-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
10-26-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
10-27-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
10-28-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
10-29-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
10-30-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
10-31-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
01-11-2017,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
02-11-2017,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
03-11-2017,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
04-11-2017,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
05-11-2017,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
06-11-2017,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
07-11-2017,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
08-11-2017,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
09-11-2017,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
10-11-2017,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
11-11-2017,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
12-11-2017,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
11-13-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
11-14-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
11-15-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
11-16-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
11-17-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
11-18-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
11-19-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
11-20-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
11-21-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
11-22-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
11-23-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
11-24-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
11-25-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
11-26-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
11-27-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
11-28-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
11-29-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
11-30-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
01-12-2017,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
02-12-2017,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
03-12-2017,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
04-12-2017,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
05-12-2017,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
06-12-2017,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
07-12-2017,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
08-12-2017,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
09-12-2017,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
10-12-2017,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
11-12-2017,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
12-12-2017,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
12-13-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
12-14-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
12-15-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
12-16-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
12-17-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
12-18-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
12-19-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
12-20-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
12-21-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
12-22-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
12-23-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
12-24-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
12-25-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
12-26-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
12-27-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
12-28-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
12-29-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
12-30-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
12-31-17,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
01-01-2018,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
02-01-2018,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
03-01-2018,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
04-01-2018,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
05-01-2018,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
06-01-2018,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
08-01-2018,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
09-01-2018,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
10-01-2018,eat-in,branch_num_43.0,TAMIL NADU,SOUTH,0
